name,body,transmission,fuel
"Toyota Supra3.0 Turbo Inline-6 AT (Prominence Red)

P4,990,000",Coupe,Automatic,Gasoline
"Toyota Supra3.0 Turbo Inline-6 AT (other color)

P5,050,000",Coupe,Automatic,Gasoline
"Toyota Supra3.0 Turbo Inline-6 AT (Matte Storm Gray)

P5,090,000",Coupe,Automatic,Gasoline
"BMW Z4sDrive20i

P3,990,000",Convertible,Automatic,Gasoline
"BMW Z4M40i

P5,790,000",Convertible,Automatic,Gasoline
"Ford Ranger2.2 XLS 4x2 MT

P1,032,000",Pickup,Manual,Diesel
"Ford Ranger2.2 XLS 4x4 MT

P1,181,000",Pickup,Manual,Diesel
"Ford Ranger2.2 XLT 4x2 AT

P1,236,000",Pickup,Automatic,Diesel
"Ford Ranger2.2 XLT 4x2 MT

P1,176,000",Pickup,Manual,Diesel
"Ford Ranger2.2 XLS 4x2 AT

P1,092,000",Pickup,Automatic,Diesel
"Ford Ranger2.0 Wildtrak 4X2 MT

P1,390,000",Pickup,Manual,Diesel
"Ford Ranger2.0 Wildtrak 4X2 AT

P1,455,000",Pickup,Automatic,Diesel
"Ford Ranger2.0 Biturbo Wildtrak 4X4 AT

P1,695,000",Pickup,Automatic,Diesel
"Ford Ranger2.2 XLS Sport 4x2 MT

P1,062,000",Pickup,Manual,Diesel
"Ford Ranger2.2 XLS Sport 4x4 MT

P1,211,000",Pickup,Manual,Diesel
"Honda Brio1.2 RS Black Top

P732,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Honda Brio1.2 RS CVT

P737,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Honda Brio1.2 S MT

P598,000 Promo Available",Wagon/Hatchback,Manual,Gasoline
"Honda Brio1.2 V CVT

P658,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Land Rover Range Rover EvoqueSD4 SE

Ask price",SUV,Automatic,Diesel
"Land Rover Range Rover EvoqueSi4 Se

Ask price",SUV,Automatic,Gasoline
"Land Rover Range Rover EvoqueSi4 HSE

Ask price",SUV,Automatic,Diesel
"Land Rover Range Rover EvoqueSD4 HSE

Ask price",SUV,Automatic,Diesel
"Ssangyong Rexton2.2L 4X2 AT

P1,730,000",SUV,Automatic,Diesel
"Ssangyong RextonRexton 2.2L 4x4 AT

P2,230,000",SUV,Automatic,Diesel
"Honda BR-V1.5 S CVT

P1,035,000 Promo Available",SUV,Automatic,Gasoline
"Honda BR-V1.5 V Navi CVT

P1,155,000 Promo Available",SUV,Automatic,Gasoline
"Ssangyong Tivoli1.6 Sport AT

P1,130,000",SUV,Automatic,Gasoline
