brand,model,transmission,fuel_type,Year of Manufacture,mileage_in_km,color,plate_no,price,location
BYD,S6,Automatic,Gasoline,2015,45000,Black,[SALE] ABG 1981,616000,Cagayan De Oro
Chevrolet,Aveo,Manual,Gasoline,2013,56000,Sterling Silver,RNV 504,188000,Bacolod
Chevrolet,Captiva,Automatic,Diesel,2012,144000,Alpine White,TKQ 116,479000,QC
Chevrolet,Colorado,Automatic,Diesel,2016,95000,Orange Rock,CS# WD3371 (WITHOUT PLATES),799000,Panabo City
Chevrolet,Colorado,Automatic,Diesel,2016,46000,Sizzle Red,[SALE] CS# WD3170 (WITHOUT PLATES),831000,Bacolod
Chevrolet,Colorado,Manual,Diesel,2014,119000,Summit White,[SALE] ACA 5679,724000,QC
Chevrolet,Colorado,Manual,Diesel,2013,127000,Black Sapphire,[SALE] FHU 547,639000,Panabo
Chevrolet,Orlando,Automatic,Gasoline,2013,,Olympic White,[SALE] WXI 878,479000,YMCA (Manila)
Chevrolet,Sail,Manual,Gasoline,2016,14000,Blue,CS# WD3839 (WITHOUT PLATES),363000,QC
BYD,S6,Automatic,Gasoline,2015,35000,Gold,[SALE] ABG 1980,724000,Cagayan De Oro
BYD,S7,Automatic,Gasoline,2017,4000,Brown,[SALE] CS# XF0219 (WITHOUT PLATES),1278000,QC
Chevrolet,Aveo,Manual,Gasoline,2012,37000,Black Sapphire,FHN 289,137000,Bacolod
Chevrolet,Colorado,Manual,Diesel,2018,14000,Black Meet Kettle,CS# WE0164 (WITHOUT PLATES),943000,Panabo City
Chevrolet,Colorado,Manual,Diesel,2014,73000,Summit White,[SALE] ABM 3187,639000,QC
Chevrolet,Colorado,Manual,Diesel,2015,16000,Orange,[SALE] ATA 7119,799000,Cagayan De Oro
Chevrolet,Colorado,Automatic,Diesel,2016,21000,Orange Rock,[SALE] CS# WC8547 (WITHOUT PLATE),1010000,Cebu
Chevrolet,Orlando,Automatic,Gasoline,2012,48000,Olympic White,[SALE] TOV 752,485000,QC
Chevrolet,Orlando,Automatic,Gasoline,2014,51000,Carbon Flash Metallic,[SALE] ABM 9185,586000,Bacolod
Chevrolet,Sail,Manual,Gasoline,2016,29000,Orange Metallic,ADM 7567 (WITHOUT PLATES),367000,Bacolod
Chevrolet,Sail,Manual,Gasoline,2017,11000,Black Meet Kettle,CS# WD6719 (WITHOUT PLATES)CS# WD6719 (WITHOUT PLATES),375000,QC
Chevrolet,Sail,Manual,Gasoline,2017,19000,Summit White,CS# WD8210 (WITHOUT PLATES),389000,QC
Chevrolet,Sail,Manual,Gasoline,2018,23000,Blue Sky,CS# WE0633 (WITHOUT PLATES),415000,QC
Chevrolet,Sail,Automatic,Gasoline,2017,3000,Summit White,CS# WD3908 (WITHOUT PLATES),478000,QC
Chevrolet,Sail,Automatic,Gasoline,2017,12000,Black,CS# WD7721 (WITHOUT PLATES),465000,QC
Chevrolet,Sail,Automatic,Gasoline,2017,22000,Syracuse MKIII,CS# WD9625 (WITHOUT PLATES),479000,Gen. Santos
Chevrolet,Sail,Automatic,Gasoline,2017,12000,Silver Metallic,CS# WD5393 (WITHOUT PLATES),469000,QC
Chevrolet,Sail,Automatic,Gasoline,2018,16000,Blue Sky,CS# WE0977 (WITHOUT PLATES),708000,QC
Chevrolet,Sail,Manual,Gasoline,2017,31000,Silver Metallic (OR/CRE) Galaxy Silver (PN/CHM),CS# WD8041 (WITHOUT PLATES),469000,QC
Chevrolet,Sail,Automatic,Gasoline,2018,7000,Gate Red,CS# WE1500 (WITHOUT PLATES),671000,QC
Chevrolet,Sail,Manual,Gasoline,2017,13000,Summit White,CS# WD4224 (WITHOUT PLATES),388000,Koronadal
Chevrolet,Sail,Manual,Gasoline,2017,31000,Orange,CS# WD8155 (WITHOUT PLATES),401000,QC
Chevrolet,Sail,Automatic,Gasoline,2016,49000,Black Meet Kettle,FAA 3245,373000,Bacolod
Chevrolet,Sail,Automatic,Gasoline,2017,3000,Summit White,CS# WD5421 (WITHOUT PLATES),426000,Bacolod
