Customer Code,Customer Name
026291,Company - 026291
648246,Company - 648246
560261,Company - 560261
591059,Company - 591059
766950,Company - 766950
364579,Company - 364579
360677,Company - 360677
326919,Company - 326919
753991,Company - 753991
343945,Company - 343945
476886,Company - 476886
062893,Company - 062893
379822,Company - 379822
114563,Company - 114563
385579,Company - 385579
921038,Company - 921038
186107,Company - 186107
173871,Company - 173871
547243,Company - 547243
776776,Company - 776776
355969,Company - 355969
701539,Company - 701539
939538,Company - 939538
183951,Company - 183951
965011,Company - 965011
168655,Company - 168655
821248,Company - 821248
847341,Company - 847341
875975,Company - 875975
795176,Company - 795176
188965,Company - 188965
903306,Company - 903306
939263,Company - 939263
747117,Company - 747117
151976,Company - 151976
830982,Company - 830982
168721,Company - 168721
108747,Company - 108747
953516,Company - 953516
537702,Company - 537702
757155,Company - 757155
899792,Company - 899792
996147,Company - 996147
028267,Company - 028267
472788,Company - 472788
934860,Company - 934860
642859,Company - 642859
868438,Company - 868438
074486,Company - 074486
409504,Company - 409504
524212,Company - 524212
379058,Company - 379058
276845,Company - 276845
028645,Company - 028645
353051,Company - 353051
424602,Company - 424602
746934,Company - 746934
272158,Company - 272158
697871,Company - 697871
293395,Company - 293395
804772,Company - 804772
132658,Company - 132658
605496,Company - 605496
674461,Company - 674461
805891,Company - 805891
477507,Company - 477507
016838,Company - 016838
473647,Company - 473647
863345,Company - 863345
500376,Company - 500376
116794,Company - 116794
930620,Company - 930620
389613,Company - 389613
351880,Company - 351880
180217,Company - 180217
389705,Company - 389705
067004,Company - 067004
346512,Company - 346512
524939,Company - 524939
016891,Company - 016891
038418,Company - 038418
570459,Company - 570459
069835,Company - 069835
609574,Company - 609574
425888,Company - 425888
508263,Company - 508263
675984,Company - 675984
321818,Company - 321818
065203,Company - 065203
464886,Company - 464886
508136,Company - 508136
438607,Company - 438607
014387,Company - 014387
775996,Company - 775996
241166,Company - 241166
341414,Company - 341414
232950,Company - 232950
858459,Company - 858459
681839,Company - 681839
098045,Company - 098045
005899,Company - 005899
