Trans No.,Customer Code,Location Code,Grade Level Code,Transaction Date,Delivery Type,Quantity,Paper type Code
261177,875975,L000000,G4000001,11/08/2015,Returned,-1,BW000000
263273,188965,L000000,G4000001,17/08/2015,Returned,-1,BW000000
266515,747117,L000000,G4000001,18/08/2015,Returned,-1,BW000000
279567,757155,L000000,G4000001,26/08/2015,Returned,-1,BW000000
281315,472788,L000000,G4000001,24/08/2015,Returned,-1,BW000000
243272,50795,L000000,G4000001,04/08/2015,Consignment,2,BW000000
262799,364579,L000000,G4000001,15/08/2015,Consignment,2,BW000000
271032,891888,L000000,G4000001,24/08/2015,Consignment,2,BW000000
241488,5899,L000000,G4000001,04/08/2015,Returned,-10,BW000000
242559,871451,L000000,G4000001,05/08/2015,Returned,-14,BW000000
253365,799133,L000000,G4000001,11/08/2015,Returned,-7,BW000000
253437,418235,L000000,G4000001,10/08/2015,Returned,-17,BW000000
254309,431581,L000000,G4000001,10/08/2015,Returned,-6,BW000000
256156,818161,L000000,G4000001,11/08/2015,Returned,-6,BW000000
257913,504391,L000000,G4000001,10/08/2015,Returned,-19,BW000000
264613,539738,L000000,G4000001,18/08/2015,Returned,-10,BW000000
265881,419499,L000000,G4000001,17/08/2015,Returned,-6,BW000000
266421,802422,L000000,G4000001,17/08/2015,Returned,-3,BW000000
266791,53928,L000000,G4000001,19/08/2015,Returned,-5,BW000000
267317,792886,L000000,G4000001,17/08/2015,Returned,-4,BW000000
267477,259298,L000000,G4000001,19/08/2015,Returned,-8,BW000000
268278,306817,L000000,G4000001,18/08/2015,Returned,-12,BW000000
270508,540977,L000000,G4000001,22/08/2015,Returned,-10,BW000000
276032,47158,I000000,G4000001,23/08/2015,Returned,-7,BW000000
276262,80780,L000000,G4000001,24/08/2015,Returned,-16,BW000000
277188,781668,L000000,G4000001,25/08/2015,Returned,-41,BW000000
277188,781668,L000000,G4000001,26/08/2015,Returned,-41,BW000000
278050,6238,L000000,G4000001,25/08/2015,Returned,-7,BW000000
278835,98970,L000000,G4000001,26/08/2015,Returned,-3,BW000000
279279,830982,L000000,G4000001,26/08/2015,Returned,-3,BW000000
282119,498514,L000000,G4000001,25/08/2015,Returned,-30,BW000000
283073,496156,L000000,G4000001,26/08/2015,Returned,-18,BW000000
283073,496156,L000000,G4000001,26/08/2015,Returned,-18,BW000000
283945,840960,L000000,G4000001,25/08/2015,Returned,-11,BW000000
286965,356849,L000000,G4000001,27/08/2015,Returned,-3,BW000000
287493,594499,L000000,G4000001,28/08/2015,Returned,-16,BW000000
287679,413606,L000000,G4000001,27/08/2015,Returned,-12,BW000000
290099,609574,L000000,G4000001,30/08/2015,Returned,-9,BW000000
291589,248968,L000000,G4000001,31/08/2015,Returned,-28,BW000000
257557,847341,L000000,G5000001,10/08/2015,Returned,-1,BW000000
269538,830982,L000000,G5000001,22/08/2015,Returned,-1,BW000000
283566,934860,L000000,G5000001,27/08/2015,Returned,-1,BW000000
254725,873391,L000000,G5000001,10/08/2015,Returned,-17,BW000000
262099,129416,L000000,G5000001,13/08/2015,Returned,-2,BW000000
263681,149940,L000000,G5000001,16/08/2015,Returned,-9,BW000000
265120,592325,L000000,G5000001,16/08/2015,Returned,-31,BW000000
265229,701065,L000000,G5000001,18/08/2015,Returned,-29,BW000000
266433,802422,L000000,G5000001,18/08/2015,Returned,-3,BW000000
266597,288343,L000000,G5000001,17/08/2015,Returned,-15,BW000000
267189,617721,L000000,G5000001,18/08/2015,Returned,-7,BW000000
267521,398928,L000000,G5000001,17/08/2015,Returned,-3,BW000000
273427,890040,L000000,G5000001,24/08/2015,Returned,-2,BW000000
273993,539908,L000000,G5000001,24/08/2015,Returned,-14,BW000000
277360,169226,L000000,G5000001,25/08/2015,Returned,-19,BW000000
278058,6238,L000000,G5000001,26/08/2015,Returned,-7,BW000000
278288,275224,L000000,G5000001,25/08/2015,Returned,-11,BW000000
281329,472788,L000000,G5000001,26/08/2015,Returned,-12,BW000000
281425,204815,L000000,G5000001,24/08/2015,Returned,-4,BW000000
282293,251596,L000000,G5000001,26/08/2015,Returned,-14,BW000000
283395,69835,L000000,G5000001,27/08/2015,Returned,-7,BW000000
287429,186912,L000000,G5000001,27/08/2015,Returned,-28,BW000000
287575,928640,L000000,G5000001,29/08/2015,Returned,-3,BW000000
287575,928640,L000000,G5000001,29/08/2015,Returned,-3,BW000000
288155,392694,L000000,G5000001,27/08/2015,Returned,-16,BW000000
289300,806831,L000000,G5000001,30/08/2015,Returned,-18,BW000000
291165,452060,L000000,G5000001,31/08/2015,Returned,-6,BW000000
291931,512851,L000000,G5000001,31/08/2015,Returned,-14,BW000000
292227,531044,L000000,G5000001,31/08/2015,Returned,-7,BW000000
292863,74041,L000000,G5000001,31/08/2015,Returned,-6,BW000000
254372,996147,L000000,G5000001,09/08/2015,Consignment,12,BW000000
259409,592325,L000000,G5000001,12/08/2015,Consignment,38,BW000000
276607,964276,L000000,G5000001,24/08/2015,Consignment,6,BW000000
283690,239298,L000000,G5000001,25/08/2015,Consignment,179,BW000000
254923,168655,L000000,G6000001,11/08/2015,Returned,-1,BW000000
268686,151976,L000000,G6000001,18/08/2015,Returned,-1,BW000000
269598,830982,L000000,G6000001,21/08/2015,Returned,-1,BW000000
271145,108747,L000000,G6000001,24/08/2015,Returned,-1,BW000000
280183,899792,L000000,G6000001,24/08/2015,Returned,-1,BW000000
283883,642859,I000000,G6000001,25/08/2015,Returned,-1,BW000000
286429,409504,L000000,G6000001,27/08/2015,Returned,-1,BW000000
286431,409504,L000000,G6000001,28/08/2015,Returned,-1,BW000000
288537,379058,L000000,G6000001,27/08/2015,Returned,-1,BW000000
267708,182399,L000000,G6000001,19/08/2015,Consignment,2,BW000000
268181,79472,L000000,G6000001,18/08/2015,Consignment,23,BW000000
235343,521047,L000000,G6000001,02/08/2015,Returned,-7,BW000000
240112,365590,L000000,G6000001,04/08/2015,Returned,-15,BW000000
