Tran No.,Customer Code,Location Code,Grade Level Code,Transaction Date,Delivery Type,Quantity,Paper type Code
250910,299521,L000000,G1000001,09/08/2016,Consignment,26,BW000000
237539,125334,L000000,SH000001,02/08/2016,Consignment,26,BW000000
201596,258795,L000000,G6000001,11/07/2016,Consignment,26,BW000000
220353,561558,L000000,G6000001,25/07/2016,Consignment,26,BW000000
193822,571376,L000000,G3000001,02/07/2016,Consignment,26,BW000000
219673,16838,L000000,G3000001,25/07/2016,Consignment,26,BW000000
203582,104642,L000000,FTH000001,13/07/2016,Consignment,26,BW000000
621582,407375,L000000,G2000001,14/12/2016,Consignment,26,BW000000
313741,5899,L000000,G2000001,25/09/2016,Consignment,26,BW000000
179708,6238,L000000,G4000001,22/06/2016,Consignment,26,BW000000
179952,890557,L000000,G4000001,22/06/2016,Consignment,26,BW000000
160128,939263,L000000,G5000001,06/06/2016,Consignment,26,BW000000
165557,5899,L000000,G5000001,10/06/2016,Consignment,26,BW000000
171752,504504,L000000,G5000001,15/06/2016,Consignment,26,BW000000
179084,58710,L000000,G5000001,22/06/2016,Consignment,26,BW000000
179968,890557,L000000,G5000001,22/06/2016,Consignment,26,BW000000
183694,874172,L000000,G5000001,25/06/2016,Consignment,26,BW000000
190041,173863,L000000,G5000001,29/06/2016,Consignment,26,BW000000
190043,173863,L000000,G5000001,29/06/2016,Consignment,26,BW000000
165179,681839,L000000,G6000001,10/06/2016,Consignment,26,BW000000
181655,674461,L000000,G6000001,23/06/2016,Consignment,26,BW000000
165549,5899,L000000,G2000001,10/06/2016,Consignment,26,BW000000
165603,5899,L000000,G2000001,10/06/2016,Consignment,26,BW000000
191366,389705,L000000,G2000001,30/06/2016,Consignment,26,BW000000
191406,415046,L000000,G2000001,30/06/2016,Consignment,26,BW000000
158901,858459,L000000,G3000001,04/06/2016,Consignment,26,BW000000
171428,327813,L000000,G3000001,15/06/2016,Consignment,26,BW000000
187225,506289,L000000,G3000001,28/06/2016,Consignment,26,BW000000
188631,12700,L000000,G3000001,28/06/2016,Consignment,26,BW000000
156511,232950,L000000,G1000001,02/06/2016,Consignment,26,BW000000
168780,362558,L000000,G1000001,12/06/2016,Consignment,26,BW000000
188647,525130,L000000,G1000001,28/06/2016,Consignment,26,BW000000
168708,766881,L000000,FTH000001,12/06/2016,Consignment,26,BW000000
165207,98045,L000000,FST000001,10/06/2016,Consignment,26,BW000000
166828,379058,L000000,K1000001,10/06/2016,Consignment,26,BW000000
185754,161101,L000000,G1100001,27/06/2016,Consignment,26,BW000000
158887,858459,L000000,N0000001,04/06/2016,Consignment,26,BW000000
87411,500376,L000000,G4000001,09/04/2016,Consignment,26,BW000000
91315,996147,L000000,G4000001,13/04/2016,Consignment,26,BW000000
115711,180217,L000000,G4000001,28/04/2016,Consignment,26,BW000000
82843,473647,L000000,G2000001,06/04/2016,Consignment,26,BW000000
106761,351880,L000000,G2000001,22/04/2016,Consignment,26,BW000000
114403,326919,L000000,G2000001,28/04/2016,Consignment,26,BW000000
93741,930620,L000000,FTH000001,14/04/2016,Consignment,26,BW000000
87734,116794,L000000,TY000001,09/04/2016,Consignment,26,BW000000
104741,389613,L000000,TY000001,21/04/2016,Consignment,26,BW000000
118274,389613,L000000,TY000001,30/04/2016,Consignment,26,BW000000
83099,863345,L000000,FST000001,06/04/2016,Consignment,26,BW000000
123713,346512,L000000,G4000001,05/05/2016,Consignment,26,BW000000
133796,675984,L000000,G4000001,14/05/2016,Consignment,26,BW000000
140458,438607,L000000,G4000001,20/05/2016,Consignment,26,BW000000
124984,524939,L000000,G5000001,06/05/2016,Consignment,26,BW000000
142533,14387,L000000,G5000001,21/05/2016,Consignment,26,BW000000
151158,341414,L000000,G5000001,28/05/2016,Consignment,26,BW000000
128605,69835,L000000,G6000001,11/05/2016,Consignment,26,BW000000
135451,321818,L000000,G6000001,17/05/2016,Consignment,26,BW000000
137247,464886,L000000,G6000001,18/05/2016,Consignment,26,BW000000
119710,389705,L000000,G2000001,03/05/2016,Consignment,26,BW000000
127296,570459,L000000,G2000001,08/05/2016,Consignment,26,BW000000
